post_id,post_name,publish_date,account_id,operator_id,impression,click_count,success_customer_count
POST0090,零基础西语_90,2026-07-17,ACC004,EMP007,3137,157,1
POST0091,西语学习方法_91,2025-06-09,ACC002,EMP008,1947,89,3
POST0092,西语学习方法_92,2025-07-24,ACC002,EMP008,848,12,1
POST0093,成人口语_93,2026-04-25,ACC002,EMP008,2762,125,1
POST0094,儿童西语_94,2025-11-20,ACC002,EMP008,6525,94,1
POST0095,成人口语_95,2025-12-24,ACC003,EMP009,21129,850,0
POST0096,留学西语_96,2026-07-04,ACC002,EMP008,6223,79,2
POST0097,儿童西语_97,2026-02-20,ACC004,EMP007,2988,82,2
POST0098,成人口语_98,2025-11-27,ACC003,EMP009,3887,182,2
POST0099,零基础西语_99,2026-03-20,ACC004,EMP007,5198,141,0
POST0100,西语学习方法_00,2025-03-30,ACC002,EMP008,3815,180,2
POST0101,西语学习方法_01,2025-06-08,ACC003,EMP009,3253,163,0
POST0102,成人口语_02,2026-01-23,ACC003,EMP009,1129,32,3
POST0103,成人口语_03,2025-05-08,ACC002,EMP008,16634,288,2
POST0104,儿童西语_04,2025-04-17,ACC004,EMP007,2285,129,2
POST0105,零基础西语_05,2025-08-06,ACC004,EMP007,5263,169,3
POST0106,成人口语_06,2025-03-27,ACC002,EMP008,1983,28,0
POST0107,成人口语_07,2026-07-30,ACC003,EMP009,6026,286,0
POST0108,西语学习方法_08,2025-10-11,ACC003,EMP009,873,41,2
POST0109,西语学习方法_09,2025-09-17,ACC001,EMP007,6146,283,1
POST0110,留学西语_10,2026-04-17,ACC003,EMP009,2333,58,0
POST0111,儿童西语_11,2026-08-24,ACC003,EMP009,1733,69,3
POST0112,成人口语_12,2025-11-01,ACC004,EMP007,5011,68,4
POST0113,零基础西语_13,2026-07-15,ACC003,EMP009,10936,585,3
POST0114,DELE备考_14,2025-07-26,ACC003,EMP009,5304,217,1
POST0115,成人口语_15,2026-03-09,ACC004,EMP007,4902,258,2
POST0116,成人口语_16,2026-01-16,ACC001,EMP007,6348,338,0
POST0117,西语学习方法_17,2026-01-10,ACC001,EMP007,7106,180,1
POST0118,留学西语_18,2026-06-19,ACC004,EMP007,7904,144,1
POST0119,零基础西语_19,2025-04-12,ACC003,EMP009,3161,34,1
POST0120,儿童西语_20,2025-09-13,ACC001,EMP007,3515,208,0
