student_id,student_name,country,timezone,age,sales_id,academic_id,status
STU0042,Isabela_370,英国,Europe/London,36,EMP001,EMP006,在读
STU0043,Daniel_234,德国,Europe/Berlin,36,EMP001,EMP004,在读
STU0044,Snow_269,新加坡,Asia/Singapore,28,EMP003,EMP004,在读
STU0045,Tommy_204,西班牙,Europe/Madrid,35,EMP002,EMP004,已停课
STU0046,Mason_388,美国,America/Los_Angeles,31,EMP003,EMP006,在读
STU0047,Mia_025,美国,America/Los_Angeles,8,EMP001,EMP006,在读
STU0048,Patrick_007,西班牙,Europe/Madrid,12,EMP001,EMP006,暂停
STU0049,Leo_026,美国,America/Los_Angeles,22,EMP001,EMP006,已停课
STU0050,Patrick_507,西班牙,Europe/Madrid,27,EMP001,EMP006,在读
STU0051,Xuan_058,澳大利亚,Australia/Sydney,12,EMP003,EMP004,在读
STU0052,Elva_213,中国,Asia/Shanghai,40,EMP003,EMP004,在读
STU0053,Grace_437,新加坡,Asia/Singapore,32,EMP001,EMP006,暂停
STU0054,Eric_246,美国,America/Los_Angeles,14,EMP003,EMP005,在读
STU0055,Wilson_066,澳大利亚,Australia/Sydney,29,EMP001,EMP005,在读
STU0056,Sofia_455,新加坡,Asia/Singapore,25,EMP003,EMP006,已停课
STU0057,Anna_501,美国,America/Los_Angeles,9,EMP002,EMP006,在读
STU0058,Emma_477,英国,Europe/London,13,EMP001,EMP006,已停课
STU0059,Isabela_320,新加坡,Asia/Singapore,36,EMP001,EMP004,已停课
STU0060,Mason_188,加拿大,America/Toronto,39,EMP002,EMP006,已停课
STU0061,Ryan_282,中国,Asia/Shanghai,14,EMP003,EMP005,已完成
STU0062,Isabela_070,加拿大,America/Toronto,22,EMP003,EMP004,在读
STU0063,Alice_199,加拿大,America/Toronto,9,EMP001,EMP005,已完成
STU0064,Lydia_014,德国,Europe/Berlin,27,EMP002,EMP005,已完成
STU0065,Mason_438,美国,America/Los_Angeles,30,EMP002,EMP005,在读
STU0066,Alice_449,中国,Asia/Shanghai,10,EMP002,EMP004,已完成
STU0067,Jerry_217,美国,America/Los_Angeles,29,EMP001,EMP005,暂停
STU0068,Henry_190,新加坡,Asia/Singapore,10,EMP003,EMP004,在读
STU0069,Elva_313,澳大利亚,Australia/Sydney,41,EMP003,EMP005,在读
STU0070,Lucas_502,美国,America/Los_Angeles,8,EMP001,EMP004,在读
STU0071,Hannah_365,加拿大,America/Toronto,14,EMP003,EMP004,在读
STU0072,Nina_345,西班牙,Europe/Madrid,14,EMP003,EMP005,在读
STU0073,Henry_440,中国,Asia/Shanghai,30,EMP001,EMP005,已完成
STU0074,Nina_395,英国,Europe/London,30,EMP003,EMP005,已停课
STU0075,Elynn_173,德国,Europe/Berlin,16,EMP003,EMP006,在读
STU0076,Alfred_022,加拿大,America/Toronto,11,EMP002,EMP006,已完成
STU0077,Liam_291,中国,Asia/Shanghai,18,EMP003,EMP006,在读
STU0078,Emma_377,德国,Europe/Berlin,15,EMP003,EMP005,已停课
STU0079,Jack_318,英国,Europe/London,42,EMP003,EMP004,已完成
STU0080,Ella_242,西班牙,Europe/Madrid,30,EMP001,EMP006,已停课
STU0081,Ivy_489,中国,Asia/Shanghai,34,EMP001,EMP005,在读
STU0082,Tommy_304,英国,Europe/London,37,EMP002,EMP005,在读
STU0083,Olivia_429,英国,Europe/London,26,EMP003,EMP004,在读
STU0084,Noah_428,美国,America/Los_Angeles,39,EMP002,EMP004,在读
STU0085,Liam_241,澳大利亚,Australia/Sydney,42,EMP002,EMP004,暂停
STU0086,Snow_369,中国,Asia/Shanghai,21,EMP001,EMP006,已停课
STU0087,Lucy_156,英国,Europe/London,22,EMP003,EMP006,已停课
STU0088,Henry_490,英国,Europe/London,38,EMP002,EMP005,在读
STU0089,Chloe_381,英国,Europe/London,13,EMP001,EMP004,已完成
STU0090,Etta_371,加拿大,America/Toronto,22,EMP001,EMP006,已停课
STU0091,Liam_341,新加坡,Asia/Singapore,18,EMP003,EMP005,在读
STU0092,Lydia_514,德国,Europe/Berlin,11,EMP002,EMP004,在读
STU0093,Xuan_508,中国,Asia/Shanghai,39,EMP002,EMP005,在读
STU0094,Tiger_460,中国,Asia/Shanghai,20,EMP002,EMP005,已完成
STU0095,Chloe_431,美国,America/Los_Angeles,16,EMP002,EMP004,在读
STU0096,Alfred_222,德国,Europe/Berlin,19,EMP002,EMP005,在读
STU0097,Ivy_239,英国,Europe/London,20,EMP001,EMP004,已停课
STU0098,Liam_141,澳大利亚,Australia/Sydney,15,EMP001,EMP005,在读
STU0099,Jack_118,澳大利亚,Australia/Sydney,41,EMP003,EMP004,暂停
STU0100,Ella_492,加拿大,America/Toronto,31,EMP001,EMP006,在读
STU0101,Alfred_172,加拿大,America/Toronto,24,EMP001,EMP005,已停课
STU0102,Lydia_214,澳大利亚,Australia/Sydney,13,EMP002,EMP005,在读
STU0103,Olivia_179,新加坡,Asia/Singapore,38,EMP001,EMP005,已停课
STU0104,Eric_096,澳大利亚,Australia/Sydney,31,EMP001,EMP004,在读
STU0105,Ryan_182,德国,Europe/Berlin,13,EMP001,EMP006,在读
STU0106,Lawrence_074,中国,Asia/Shanghai,13,EMP003,EMP006,在读
STU0107,Brian_009,英国,Europe/London,25,EMP002,EMP004,在读
STU0108,Ella_042,中国,Asia/Shanghai,20,EMP003,EMP004,在读
STU0109,Tommy_054,新加坡,Asia/Singapore,16,EMP003,EMP004,在读
STU0110,Tommy_454,中国,Asia/Shanghai,16,EMP001,EMP005,已停课
STU0111,Luna_033,澳大利亚,Australia/Sydney,16,EMP003,EMP005,在读
STU0112,Alice_349,新加坡,Asia/Singapore,36,EMP002,EMP004,已停课
STU0113,Liam_391,美国,America/Los_Angeles,35,EMP001,EMP006,在读
STU0114,Crystal_512,西班牙,Europe/Madrid,31,EMP002,EMP005,已停课
STU0115,Sarah_148,加拿大,America/Toronto,32,EMP001,EMP004,在读
STU0116,Jason_194,加拿大,America/Toronto,15,EMP001,EMP004,在读
STU0117,Ivy_289,澳大利亚,Australia/Sydney,30,EMP002,EMP005,在读
STU0118,Zoe_393,德国,Europe/Berlin,8,EMP002,EMP006,在读
STU0119,Luna_233,英国,Europe/London,39,EMP001,EMP004,在读
STU0120,Kevin_347,加拿大,America/Toronto,19,EMP002,EMP004,在读
STU0121,Hannah_015,德国,Europe/Berlin,15,EMP003,EMP006,已停课
STU0122,David_200,英国,Europe/London,29,EMP002,EMP004,在读
STU0123,Liam_441,西班牙,Europe/Madrid,22,EMP003,EMP005,在读
STU0124,Nina_195,澳大利亚,Australia/Sydney,26,EMP002,EMP005,在读
STU0125,Nina_145,美国,America/Los_Angeles,10,EMP001,EMP005,在读
STU0126,Lydia_114,加拿大,America/Toronto,37,EMP001,EMP005,在读
STU0127,Eric_196,德国,Europe/Berlin,32,EMP002,EMP005,已停课
STU0128,Elva_263,美国,America/Los_Angeles,37,EMP002,EMP004,已停课
STU0129,Lucy_306,加拿大,America/Toronto,33,EMP001,EMP006,已停课
STU0130,Eric_046,德国,Europe/Berlin,18,EMP001,EMP005,在读
STU0131,Grace_337,德国,Europe/Berlin,9,EMP001,EMP004,在读
STU0132,Elynn_123,德国,Europe/Berlin,30,EMP003,EMP005,在读
STU0133,Sofia_205,西班牙,Europe/Madrid,9,EMP001,EMP005,在读
STU0134,Sofia_155,西班牙,Europe/Madrid,28,EMP002,EMP005,在读
STU0135,Luna_133,美国,America/Los_Angeles,22,EMP001,EMP006,已完成
STU0136,Sarah_248,澳大利亚,Australia/Sydney,24,EMP002,EMP005,在读
STU0137,Noah_178,中国,Asia/Shanghai,35,EMP003,EMP005,在读
STU0138,Lawrence_224,加拿大,America/Toronto,27,EMP003,EMP005,在读
STU0139,Isabela_470,美国,America/Los_Angeles,25,EMP003,EMP006,暂停
STU0140,Ivy_139,新加坡,Asia/Singapore,11,EMP003,EMP004,在读
STU0141,Elva_413,美国,America/Los_Angeles,26,EMP001,EMP005,在读
STU0142,Wilson_366,德国,Europe/Berlin,12,EMP003,EMP005,已完成
STU0143,Lucas_202,西班牙,Europe/Madrid,38,EMP003,EMP005,在读
STU0144,Zoe_243,加拿大,America/Toronto,29,EMP002,EMP004,在读
STU0145,Ethan_130,新加坡,Asia/Singapore,37,EMP003,EMP004,已完成
STU0146,Mia_275,澳大利亚,Australia/Sydney,28,EMP003,EMP006,在读
STU0147,Wilson_116,美国,America/Los_Angeles,29,EMP001,EMP005,已停课
STU0148,Luis_053,新加坡,Asia/Singapore,28,EMP003,EMP004,在读
STU0149,Alice_249,澳大利亚,Australia/Sydney,32,EMP001,EMP006,已完成
STU0150,Kevin_397,西班牙,Europe/Madrid,19,EMP001,EMP005,在读
STU0151,Lucy_356,英国,Europe/London,31,EMP001,EMP006,在读
STU0152,Etta_271,德国,Europe/Berlin,35,EMP003,EMP004,在读
STU0153,Noah_278,新加坡,Asia/Singapore,26,EMP001,EMP006,已完成
STU0154,Chloe_231,德国,Europe/Berlin,41,EMP001,EMP006,在读
STU0155,Brian_409,新加坡,Asia/Singapore,25,EMP001,EMP004,在读
